 * Serving Flask app "__main__" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:7000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Jun/2018 14:38:33] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:38:43] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:38:45] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:39:10] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:40:09] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:40:12] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:40:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:40:37] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:41:15] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:41:52] "POST /v1/phone/out HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:41:57] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:42:15] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:42:19] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:42:36] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:42:36] "POST /v1/phone/out HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:43:20] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:43:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:43:50] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:43:52] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:43:53] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:46:56] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:49:33] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:49:41] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:49:44] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:51:37] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:51:44] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:51:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:51:53] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:51:56] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:52:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:52:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:52:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:52:54] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:52:57] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:53:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:53:08] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:53:11] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:53:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:53:24] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:54:24] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:57:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:57:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 15:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 15:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 15:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 15:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 15:01:05] "POST /v1/phone/token HTTP/1.0" 200 -
yes----
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
yes----
-----------
yes----
-----------
-----------
yes----
-----------
yes----
yes----
yes----
-----------
yes----
-----------
yes----
-----------
-----------
yes----
-----------
yes----
yes----
-----------
yes----
-----------
yes----
yes----
yes----
-----------
-----------
yes----
yes----
-----------
yes----
-----------
-----------
-----------
yes----
-----------
yes----
-----------
yes----
yes----
yes----
-----------
yes----
-----------
yes----
-----------
yes----
yes----
-----------
yes----
-----------
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
yes----
-----------
-----------
yes----
-----------
yes----
-----------
yes----
-----------
yes----
-----------
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [1]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [2]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [1]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [2]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [1]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [2]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [1]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [2]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [1]
<class 'swagger_server.mysql_db.YChome'> SELECT `t1`.`id`, `t1`.`content`, `t1`.`posttime`, `t1`.`title`, `t1`.`type` FROM `yc_home` AS t1 WHERE (`t1`.`type` = %s) ORDER BY `t1`.`posttime` DESC LIMIT 5 [2]
0
%秭归%
投诉处理及时率
0
%秭归%
0
1.0
0
{'area': '秭归', 'acceptance': 12, 'complete': 19, 'unfinished': 0, 'completed': 0, 'timely': '100.00%', 'average': '16.21', 'repeat': 0, 'repeatrate': '0%', 'investment': '6.59'}
1
%枝江%
com 0
{'name': '秭归', 'value': '100.00'}
1
%枝江%
0
0
1.0
com 0
{'name': '枝江', 'value': '100.00'}
2
%长阳%
{'area': '枝江', 'acceptance': 7, 'complete': 7, 'unfinished': 0, 'completed': 0, 'timely': '100.00%', 'average': '11.29', 'repeat': 0, 'repeatrate': '0%', 'investment': '2.76'}
2
%长阳%
0
0
com 0
{'name': '长阳', 'value': '100.00'}
3
%远安%
1.0
{'area': '长阳', 'acceptance': 3, 'complete': 4, 'unfinished': 0, 'completed': 0, 'timely': '100.00%', 'average': '5.00', 'repeat': 0, 'repeatrate': '0%', 'investment': '1.63'}
3
%远安%
0
com 0
{'name': '远安', 'value': '100.00'}
4
%宜都%
0
1.0
{'area': '远安', 'acceptance': 3, 'complete': 1, 'unfinished': 0, 'completed': 0, 'timely': '100.00%', 'average': '1.00', 'repeat': 0, 'repeatrate': '0%', 'investment': '2.33'}
4
%宜都%
0
com 0
{'name': '宜都', 'value': '100.00'}
5
%夷陵%
0
1.0
0
